,test_id,dab_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,predicted_label,external_id,confidence,roi_brightness,image_brightness,b_means,g_means,r_means,b_stds,g_stds,r_stds,roi_b_means,roi_g_means,roi_r_means,roi_b_stds,roi_g_stds,roi_r_stds
0,1000,1,695,158,765,228,P_1,0000087_drone_001_2.jpg,0.945687,77.65944320487863,128.40903930340676,136.03725,128.83617,118.712265,77.448364,76.14169,75.32219,78.97388,74.79796,78.061226,43.316334,41.53545,37.85877
1,1000,1,452,156,521,225,P_1,2000031_drone_015_2.jpg,0.92494,188.91757812190386,140.42860397964313,147.22173,137.65825,130.1488,79.32047,54.743008,43.09283,197.80362,186.92018,181.36862,51.037125,50.253677,50.282814
2,1000,1,599,407,669,476,P_1,0100091_drone_017_3.jpg,0.947662,88.30507880500406,128.83681906371118,130.24716,123.72528,130.68231,69.8396,70.99264,68.20936,86.2911,83.159004,93.043274,38.484547,33.891327,36.1046
3,1000,1,668,196,739,265,P_1,6000080_drone_013_2.jpg,0.923659,180.4018730833402,119.35398008499394,114.65407,118.50558,119.39808,68.1624,63.297638,63.57742,169.02061,180.04654,190.25475,63.213787,61.141857,60.083523
4,1000,1,87,340,156,409,P_1,5000131_drone_007_4.jpg,0.941192,98.85758742613164,121.8561190339041,109.844215,126.27816,125.689445,76.53872,69.86059,76.49058,88.7908,98.31695,107.11132,50.223564,49.71236,50.051003
5,1000,1,287,315,357,385,P_1,5000150_drone_014_4.jpg,0.907881,111.26197593138933,129.54205044416113,123.93184,128.21735,134.14352,75.86493,71.90383,75.81446,99.5898,108.185715,123.005104,42.213882,46.240562,60.54619
6,1000,1,578,10,647,80,P_1,6000094_drone_002_2.jpg,0.939244,133.38141740073976,136.8267191886917,134.3988,137.39442,137.5889,54.58702,52.701557,53.30302,129.03313,134.66771,135.63623,34.140705,30.2941,29.162157
7,1000,1,113,83,182,152,P_1,6000126_drone_009_2.jpg,0.939435,140.66995358863238,140.2104590308261,135.03583,139.84875,144.86838,38.12327,34.835205,32.089817,133.75531,142.35202,145.16846,54.783096,55.334362,55.486553
8,1000,1,288,77,357,145,P_1,6000198_drone_018_3.jpg,0.912307,148.44320640801124,115.56342748757025,113.54222,114.37065,117.80954,56.03059,53.933475,52.689785,144.2338,148.10124,151.95332,65.94726,62.23393,54.04671
9,1000,1,398,106,467,176,P_1,Playground_1_drone_013_3.jpg,0.900939,141.4593613274519,158.0814919428175,141.83704,158.00522,165.03874,79.8428,62.242485,61.374615,128.4294,146.86812,135.1913,72.80137,59.95558,71.397415
10,1000,1,779,28,849,97,P_1,pexels-eberhard-grossgasteiger-1021808_drone_013_5.jpg,0.924934,165.2237524368987,140.42606679584298,142.98479,141.14615,136.80495,49.887856,48.561768,51.13872,168.07619,166.10269,161.37723,19.860277,18.38289,17.9895
11,1000,1,717,72,786,140,P_1,4100066_drone_014_1.jpg,0.926846,84.61434853271751,138.19101929989444,143.68842,137.54611,128.90588,70.856964,56.61257,59.70127,86.330986,90.80328,74.11019,49.367767,35.40594,29.34126
12,1000,1,165,413,232,478,P_1,Playground_3_drone_013_1.jpg,0.941008,177.34114845376237,146.9636141982232,127.4079,154.78214,154.18617,55.78582,51.25558,62.480804,150.38438,177.67142,200.26889,23.30082,24.528065,27.326323
13,1000,1,488,252,557,320,P_1,9000003_drone_001_1.jpg,0.942485,56.41208818950187,136.02187691508794,121.78171,135.34438,146.32222,63.627827,58.831463,48.66492,45.21334,47.866367,68.70098,49.24566,56.048004,51.96375
14,1000,1,809,108,879,178,P_1,1100004_drone_009_1.jpg,0.942005,90.14552374270156,96.35480537160548,115.49407,78.587425,88.13328,33.8975,38.165817,45.050537,114.33755,65.39469,82.68224,26.952934,21.672348,25.566072
15,1000,1,446,226,515,294,P_1,pexels-iconcom-733174_drone_004_5.jpg,0.933191,169.83633496623895,124.4805713851798,84.074776,123.481476,148.7442,65.664825,67.65488,75.961426,59.9919,176.12788,226.0439,19.796556,26.993942,44.606617
16,1000,1,89,317,160,387,P_1,8141655781_1b32c1cd08_c_drone_008_4.jpg,0.955454,98.48493855548465,54.97472951838719,41.58119,47.19061,68.76173,45.12615,53.985455,61.598957,68.32656,87.462975,126.19014,50.40026,49.99726,47.566044
17,1000,1,654,91,725,160,P_1,6000218_drone_012_2.jpg,0.937423,161.14075416784385,153.58842134206347,137.03206,150.79666,168.17918,61.51147,53.92884,58.313328,122.132065,169.49724,182.82812,35.493176,46.131584,46.068344
18,1000,1,761,174,831,245,P_1,6000025_drone_013_2.jpg,0.951799,135.79419109802242,112.7086464194372,103.87746,109.251724,120.96929,64.51319,60.458164,59.875134,133.02534,140.41911,133.27786,30.217758,29.350288,31.837723
19,1000,1,825,455,893,524,P_1,1000993_drone_001_4.jpg,0.950053,157.5132156295798,129.81318553380422,125.786865,144.87686,110.39688,68.08168,44.98365,53.703503,186.86658,148.25533,131.9416,38.47054,28.023716,24.726845
20,1000,1,457,369,523,434,P_1,44998854431_1977897e70_c_drone_010_1.jpg,0.919472,51.486159056010145,57.99410598072197,47.3409,59.811832,63.298225,45.513737,47.319565,49.732487,41.271793,52.500698,57.515152,40.58366,40.14806,39.428734
21,1000,1,251,52,322,122,P_1,6000225_drone_006_2.jpg,0.935895,98.52462610069185,90.97712097186452,78.76856,93.292885,98.02356,65.23235,67.03827,67.15996,84.83199,102.92918,105.699394,64.71646,72.08975,69.59905
22,1000,1,514,220,580,285,P_1,14432054273_82acb074a3_c_drone_004_4.jpg,0.916146,101.12277278937295,115.81173673267796,96.60895,130.03584,115.50753,55.565353,47.459553,50.338608,69.6662,132.04312,90.14406,29.15193,32.229527,31.972311
23,1000,1,673,199,740,266,P_1,6000283_drone_015_2.jpg,0.941154,136.21776864765783,129.26715362714768,131.21349,125.14038,128.90498,48.310467,43.215843,43.62287,142.00179,132.20094,134.1038,32.356857,30.896353,31.128496
24,1000,1,183,335,251,403,P_1,Pool_2_drone_018_1.jpg,0.935911,165.10448717895972,157.67437965888513,172.57399,157.6209,132.61314,76.543846,63.535923,52.81529,198.40808,172.95242,107.007355,55.65892,52.47302,42.078472
25,1000,1,22,434,91,503,P_1,5000182_drone_015_2.jpg,0.936936,128.19713159809842,145.0784073477182,126.27981,154.0314,148.78963,86.75758,62.044262,61.54388,86.56585,148.67674,139.66457,23.389624,33.687603,31.265078
